,StartStationName,county,city,province
431,岚皋县客运站,岚皋县,安康,陕西
432,泾川汽车站,泾川县,平凉,甘肃
433,英吉沙客运站,英吉沙县,喀什,新疆
434,元宝山区平庄汽车站,宝山区,上海,上海
435,建昌客运,建昌县,葫芦,辽宁
436,弓长岭客运站,长岭县,松原,吉林
437,红旗街,红旗区,新乡,河南
438,220722001,,,
439,兰西客运站,兰西县,绥化,黑龙
440,富锦市公路客运总站,富锦市,佳木,黑龙
441,新沂北站,新沂市,徐州,江苏
442,滨江铂尔曼,滨江区,杭州,浙江
443,安庆中心站,,安庆,安徽
444,南平汽车站,,南平,福建
445,蒙阴,蒙阴县,临沂,山东
446,荆州机场,荆州区,荆州,湖北
447,高要汽车客运站,高要区,肇庆,广东
448,溪西镇第一招呼站,,,
449,徐闻县新国线中心汽车客运站,徐闻县,湛江,广东
450,铜梁汽车南站,铜梁区,重庆,重庆
451,天柱汽车站,天柱县,黔东,贵州
452,龙泉汽车总站,龙泉驿区,成都,四川
453,岳池客运枢纽站,岳池县,广安,四川
454,肃南公用型客运站,肃南裕固族自治县,张掖,甘肃
455,临夏汽车南站,临夏县,临夏,甘肃
456,襄垣汽车站,襄垣县,长治,山西
457,农安县客运总站,农安县,长春,吉林
458,120102001,,,
459,盐城汽车总站,,盐城,江苏
460,益林,,,
461,宜兴城市候机楼,宜兴市,无锡,江苏
462,涟水机场,涟水县,淮安,江苏
463,随州东站,,随州,湖北
464,汕头中旅汽车客运站,,汕头,广东
465,东湖客运站,东湖区,南昌,江西
466,海口大致坡,,海口,海南
467,琼中新林,琼中黎族苗族自治县,儋州,海南
468,泸州汽车站(广场),,泸州,四川
469,锦屏汽车客运南站,锦屏县,黔东,贵州
470,六盘水南站,,六盘,贵州
471,泸州城西客运站,城西区,西宁,青海
472,宁波机场,,宁波,浙江
473,清远市城北客运站,城北区,西宁,青海
474,房县客运站,房县,十堰,湖北
475,和顺汽车站,和顺县,晋中,山西
476,蚌埠中心站,,蚌埠,安徽
477,大连金州中心汽车站,金州区,大连,辽宁
478,庆安客运站,庆安县,绥化,黑龙
479,临泽客运站,临泽县,张掖,甘肃
480,盱眙车站,盱眙县,淮安,江苏
481,丹阳客运中心,丹阳市,镇江,江苏
482,连云港东站,连云区,连云,江苏
483,南安中心站,南安市,泉州,福建
484,宏路,,,
485,安溪永隆国际,安溪县,泉州,福建
486,威海站,,威海,山东
487,楼德站,,,
488,平顶山长途站,,平顶,河南
489,海丰汽车客运总站,海丰县,汕尾,广东
490,东莞市大朗汽车客运站,东莞市,东莞,广东
491,广州东站汽车客运站,,广州,广东
